archive_url,volume_number,title,publication_date,editor,import_date,status
https://firstmonday.org/ojs/index.php/fm/issue/view/141,Volume 7 Number 1 - 7 January 2002,,2002-01-07,,2025-01-22 23:39:29,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/142,Volume 7 Number 2 - 4 February 2002,,2002-02-04,,2025-01-22 23:39:31,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/143,Volume 7 Number 3 - 4 March 2002,,2002-03-04,,2025-01-22 23:39:34,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/144,Volume 7 Number 4 - 1 April 2002,,2002-04-01,,2025-01-22 23:39:36,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/145,"Volume 7, Number 5 - 6 May 2002",,2002-05-06,,2025-01-22 23:39:39,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/146,"Volume. 7, Number 6 - 3 June 2002",,2002-06-03,,2025-01-22 23:39:41,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/147,"Volume 7, Number 7 - 1 July 2002",,2002-07-01,,2025-01-22 23:39:44,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/148,"Volume 7, Number 8 - 5 August 2002",,2002-08-05,,2025-01-22 23:39:46,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/149,"Volume 7, Number 9 - 2 September 2002",,2002-09-02,,2025-01-22 23:39:49,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/150,"Volume 7, Number 10 - 7 October 2002",,2002-10-07,,2025-01-22 23:39:52,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/151,"Volume 7, Number 11 - 4 November 2002",,2002-11-04,,2025-01-22 23:39:54,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/152,"Volume 7, Number 12 - 2 December 2002",,2002-12-02,,2025-01-22 23:39:57,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/153,"Volume 8, Number 1 - 6 January 2003",,2003-01-06,,2025-01-22 23:39:59,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/154,"Volume 8, Number 2 - 3 February 2003",,2003-02-03,,2025-01-22 23:40:02,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/155,"Volume 8, Number 3 - 3 March 2003",,2003-03-03,,2025-01-22 23:40:04,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/156,"Volume 8, Number 4 - 7 April 2003",,2003-04-07,,2025-01-22 23:40:07,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/157,"Volume 8, Number 5 - 5 May 2003",,2003-05-05,,2025-01-22 23:40:09,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/158,"Volume 8, Number 6 - 2 June 2003",,2003-06-02,,2025-01-22 23:40:12,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/159,"Volume 8, Number 7 - 7 July 2003",,2003-07-07,,2025-01-22 23:40:14,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/160,"Volume 8, Number 8 - 4 August 2003",,2003-08-04,,2025-01-22 23:40:17,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/161,"Volume 8, Number 9 - 1 September 2003",,2003-09-01,,2025-01-22 23:40:19,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/162,"Volume 8, Number 10 - 6 October 2003",,2003-10-06,,2025-01-22 23:40:22,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/164,"Volume 8, Number 11 - 3 November 2003",,2003-11-03,,2025-01-22 23:40:24,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/165,"Volume 8, Number 12 - 1 December 2003",,2003-12-01,,2025-01-22 23:40:27,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/166,"Volume 9, Number 1 - 5 January 2004",,2004-01-05,,2025-01-22 23:40:30,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/167,"Volume 9, Number 2 - 2 February 2004",,2004-02-02,,2025-01-22 23:40:36,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/168,"Volume 9, Number 3 - 1 March 2004",,2004-03-01,,2025-01-22 23:40:39,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/170,"Volume 9, Number 4 - 5 April 2004",,2004-04-05,,2025-01-22 23:40:41,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/171,"Volume 9, Number 5 - 3 May 2004",,2004-05-03,,2025-01-22 23:40:44,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/172,"Volume 9, Number 6 - 7 June 2004",,2004-06-07,,2025-01-22 23:40:48,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/173,"Volume 9, Number 7 - 5 July 2004",,2004-07-05,,2025-01-22 23:40:50,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/174,"Volume 9, Number 8 - 2 August 2004",,2004-08-02,,2025-01-22 23:40:53,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/175,"Volume 9, Number 9 - 6 September 2004",,2004-09-06,,2025-01-22 23:40:55,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/176,"Volume 9, Number 10 - 4 October 2004",,2004-10-04,,2025-01-22 23:40:58,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/177,"Volume 9, Number 11 - 1 November 2004",,2004-11-01,,2025-01-22 23:41:00,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/178,"Volume 9, Number 12 - 6 December 2004",,2004-12-06,,2025-01-22 23:41:03,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/179,"Volume 10, Number 1 - 3 January 2005",,2005-01-03,,2025-01-22 23:41:05,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/180,"Volume 10, Number 2 - 7 February 2005",,2005-02-07,,2025-01-22 23:41:08,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/181,"Volume 10, Number 3 - 7 March 2005",,2005-03-07,,2025-01-22 23:41:10,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/182,"Volume 10, Number 4 - 4 April 2005",,2005-04-04,,2025-01-22 23:41:13,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/184,"Volume 10, Number 5 - 2 May 2005",,2005-05-02,,2025-01-22 23:41:15,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/185,"Volume 10, Number 6 - 6 June 2005",,2005-06-06,,2025-01-22 23:41:18,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/186,"Volume 10, Number 7 - 4 July 2005",,2005-07-04,,2025-01-22 23:41:21,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/187,"Volume 10, Number 8 - 1 August 2005",,2005-08-01,,2025-01-22 23:41:23,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/188,"Volume 10, Number 9 - 5 September 2005",,2005-09-05,,2025-01-22 23:41:26,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/189,"Volume 10, Number 10 - 3 October 2005",,2005-10-03,,2025-01-22 23:41:28,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/190,"Volume 10, Number 11 - 7 November 2005",,2005-11-07,,2025-01-22 23:41:31,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/191,"Volume 10, Number 12 - 5 December 2005",,2005-12-05,,2025-01-22 23:41:33,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/192,"Volume 11, Number 1 - 2 January 2006",,2006-01-02,,2025-01-22 23:41:36,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/193,"Volume 11, Number 2 - 6 February 2006",,2006-02-06,,2025-01-22 23:41:38,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/194,"Volume 11, Number 3 - 6 March 2006",,2006-03-06,,2025-01-22 23:41:41,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/195,"Volume 11, Number 4 - 3 April 2006",,2006-04-03,,2025-01-22 23:41:44,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/196,"Volume 11, Number 5 — 1 May 2006",,2006-05-01,,2025-01-22 23:41:46,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/197,"Volume 11, Number 6 — 5 June 2006 (Proceedings of the 2nd First Monday Conference, May 2006, Chicago)",,2006-06-05,,2025-01-22 23:41:50,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/200,"Volume 11, Number 7 — 3 July 2006 (Proceedings of the 2nd First Monday Conference, May 2006, Chicago)",,2006-07-03,,2025-01-22 23:41:54,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/202,"Volume 11, Number 8 — 7 August 2006",,2006-08-07,,2025-01-22 23:41:56,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/203,"Volume 11, Number 9 — 4 September 2006",,2006-09-04,,2025-01-22 23:41:59,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/204,"Volume 11, Number 10 — 2 October 2006",,2006-10-02,,2025-01-22 23:42:03,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/205,"Volume 11, Number 11 — 6 November 2006",,2006-11-06,,2025-01-22 23:42:05,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/206,"Volume 11, Number 12 — 4 December 2006",,2006-12-04,,2025-01-22 23:42:08,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/207,"Volume 12, Number 1 — 1 January 2007",,2007-01-01,,2025-01-22 23:42:11,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/211,Special Issue #1: Music and the Internet — 4 July 2005,,2005-07-04,,2025-01-22 23:42:13,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/212,Special Issue #2: Open Source — 3 October 2005,,2005-10-03,,2025-01-22 23:42:16,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/214,"Special Issue #3: Internet banking, e-money, and Internet gift economies — 5 December 2005",,2005-12-05,,2025-01-22 23:42:19,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/217,Special Issue #4: Urban Screens: Discovering the potential of outdoor screens for urban society,,2006-02-20,,2025-01-22 23:42:21,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/219,"Special Issue #5: Virtual Architecture at State of Play III, 6–8 October 2005",,2006-02-25,,2025-01-22 23:42:24,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/221,Special Issue #6: Commercial applications of the Internet,,2006-06-20,,2025-01-22 23:42:26,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/223,Special Issue #7: Command Lines: The Emergence of Governance in Global Cyberspace,,2006-11-20,,2025-01-22 23:42:29,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/224,"Volume 12, Number 2 — 5 February 2007",,2007-02-05,,2025-01-22 23:42:32,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/225,"Volume 12, Number 3 — 5 March 2007",,2007-03-05,,2025-01-22 23:42:34,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/230,"Volume 12, Number 4 — 2 April 2007",,2007-04-02,,2025-01-22 23:42:37,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/235,"Volume 12, Number 5 — 7 May 2007",,2007-05-07,,2025-01-22 23:42:39,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/240,"Volume 12, Number 6 — 4 June 2007",Special Issue: Designing Cyberinfrastructure,2007-06-04,,2025-01-22 23:42:42,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/246,"Volume 12, Number 7 — 2 July 2007",,2007-07-02,,2025-01-22 23:42:45,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/250,Volume 12 Number 10 - 1 October 2007,,2007-10-01,,2025-01-22 23:42:48,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/251,"Volume 12, Number 8 - 6 August 2007",,2007-08-06,,2025-01-22 23:42:50,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/252,"Volume 12, Number 9 - 3 September 2007",,2007-09-03,,2025-01-22 23:42:53,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/253,Special Issue #8: A Web site with a view — The Third World on First Monday,,2007-02-20,,2025-01-22 23:42:57,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/254,Volume 12 Number 11 - 5 November 2007,,2007-11-05,,2025-01-22 23:43:00,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/255,Volume 12 Number 12 - 3 December 2007,,2007-12-03,,2025-01-22 23:43:03,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/259,Volume 13 Number 1 - 7 January 2008,,2008-01-18,,2025-01-22 23:43:06,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/262,"Volume 13, Number 2 - 4 February 2008",,2008-02-26,,2025-01-22 23:43:09,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/263,"Volume 13, Number 3 - 3 March 2008",,2008-03-03,,2025-01-22 23:43:11,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/264,"Volume 13, Number 4 - 7 April 2008",,2008-04-07,,2025-01-22 23:43:14,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/265,Volume 13 Number 5 - 5 May 2008,,2008-04-28,,2025-01-22 23:43:16,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/266,Volume 13 Number 6 - 2 June 2008,,2008-06-06,,2025-01-22 23:43:19,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/267,"Volume 13, Number 7 - 7 July 2008",,2008-07-04,,2025-01-22 23:43:22,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/268,Volume 13 Number 8 - 4 August 2008,,2008-08-19,,2025-01-22 23:43:25,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/269,Volume 13 Number 9 - 1 September 2008,,2008-09-05,,2025-01-22 23:43:27,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/270,Volume 13 Number 10 - 6 October 2008,,2008-10-13,,2025-01-22 23:43:30,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/271,"Volume 13, Number 11 - 3 November 2008",,2008-11-20,,2025-01-22 23:43:32,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/272,"Volume 13, Number 12 - 1 December 2008",,2008-12-10,,2025-01-22 23:43:35,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/274,"Volume 14, Number 1 - 5 January 2009",,2009-01-06,,2025-01-22 23:43:37,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/277,"Volume 14, Number 2 - 2 February 2009",,2009-02-13,,2025-01-22 23:43:40,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/282,"Volume 14, Number 3 - 2 March 2009",,2009-03-08,,2025-01-22 23:43:42,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/287,"Volume 14, Number 4 - 6 April 2009",,2009-04-04,,2025-01-22 23:43:45,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/289,"Volume 14, Number 5 - 4 May 2009",,2009-05-01,,2025-01-22 23:43:48,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/291,"Volume 14, Number 6 - 1 June 2009",,2009-06-01,,2025-01-22 23:43:50,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/292,"Volume 14, Number 7 - 6 July 2009",,2009-07-06,,2025-01-22 23:43:53,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/293,"Volume 14, Number 8 - 3 August 2009",,2009-07-31,,2025-01-22 23:43:55,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/294,"Volume 14, Number 9 - 7 September 2009",,2009-09-05,,2025-01-22 23:44:00,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/295,"Volume 14, Number 10 - 5 October 2009",,2009-10-05,,2025-01-22 23:44:03,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/297,"Volume 14, Number 11 - 2 November 2009",,2009-11-04,,2025-01-22 23:44:05,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/299,"Volume 14,  Number 12 - 7 December 2009",,2009-12-11,,2025-01-22 23:44:08,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/301,"Volume 15, Number 1 - 4 January 2010",,2010-01-05,,2025-01-22 23:44:10,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/302,"Volume 15, Number 2 - 1 February 2010",,2010-02-10,,2025-01-22 23:44:13,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/308,"Volume 15, Number 3 - 1 March 2010",,2010-03-15,,2025-01-22 23:44:16,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/309,"Volume 15, Number 4 - 5 April 2010",,2010-04-15,,2025-01-22 23:44:19,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/312,"Volume 15, Number 5 - 3 May 2010",,2010-05-03,,2025-01-22 23:44:22,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/315,"Volume 15, Number 6 - 7 June 2010",,2010-06-07,,2025-01-22 23:44:24,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/316,"Volume 15, Number 7 - 5 July 2010",,2010-07-08,,2025-01-22 23:44:27,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/317,"Volume 15, Number 8 - 2 August 2010",,2010-07-28,,2025-01-22 23:44:29,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/319,"Volume 15, Number 9 - 6 September 2010",,2010-09-05,,2025-01-22 23:44:32,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/320,"Volume 15, Number 10 - 4 October 2010",,2010-10-16,,2025-01-22 23:44:34,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/325,"Volume 15, Number 11 - 1 November 2010",,2010-11-14,,2025-01-22 23:44:37,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/326,"Volume 15, Number 12 - 6 December 2010",,2010-12-06,,2025-01-22 23:44:40,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/330,"Volume 16, Number 1 - 3 January 2011",,2011-01-03,,2025-01-22 23:44:43,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/332,"Volume 16, Number 2 - 7 February 2011",,2011-02-07,,2025-01-22 23:44:45,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/334,"Volume 16, Number 3 - 7 March 2011",,2011-03-07,,2025-01-22 23:44:48,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/337,"Volume 16, Number 4 - 4 April 2011",,2011-04-04,,2025-01-22 23:44:50,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/341,"Volume 16, Number 5 - 2 May 2011",,2011-05-01,,2025-01-22 23:44:53,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/342,"Volume 16, Number 6 - 6 June 2011",,2011-06-06,,2025-01-22 23:44:55,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/344,"Volume 16, Number 7 - 4 July 2011",,2011-07-05,,2025-01-22 23:44:58,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/346,"Volume 16, Number 8 - 1 August 2011",,2011-07-29,,2025-01-22 23:45:00,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/347,"Volume 16, Number 9 - 5 September 2011",,2011-09-02,,2025-01-22 23:45:03,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/350,"Volume 16, Number 10 - 3 October 2011",,2011-10-03,,2025-01-22 23:45:06,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/352,"Volume 16, Number 11 - 7 November 2011",,2011-10-31,,2025-01-22 23:45:08,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/354,"Volume 16, Number 12 - 5 December 2011",,2011-12-09,,2025-01-22 23:45:11,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/356,"Volume 17, Number 1 - 2 January 2012",,2012-01-06,,2025-01-22 23:45:13,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/358,"Volume 17, Number 2 - 6 February 2012",,2012-02-23,,2025-01-22 23:45:16,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/359,"Volume 17, Number 3 - 5 March 2012",,2012-03-12,,2025-01-22 23:45:18,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/363,"Volume 17, Number 4 - 2 April 2012",,2012-04-04,,2025-01-22 23:45:21,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/364,"Volume 17, Number 5 - 7 May 2012",,2012-05-07,,2025-01-22 23:45:24,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/366,"Volume 17, Number 6 - 4 June 2012",,2012-06-09,,2025-01-22 23:45:27,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/367,"Volume 17, Number 7 - 2 July 2012",,2012-07-02,,2025-01-22 23:45:30,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/368,"Volume 17, Number 8 - 6 August 2012",,2012-08-06,,2025-01-22 23:45:32,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/370,"Volume 17, Number 9 - 3 September 2012",,2012-09-03,,2025-01-22 23:45:35,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/372,"Volume 17, Number 10 - 1 October 2012",,2012-09-30,,2025-01-22 23:45:37,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/375,"Volume 17, Number 11 - 5 November 2012",,2012-11-05,,2025-01-22 23:45:40,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/376,"Volume 17, Number 12 - 3 December 2012",,2012-12-04,,2025-01-22 23:45:42,COMPLETED
https://firstmonday.org/ojs/index.php/fm/issue/view/377,"Volume 18, Number 1 - 7 January 2013",,2013-01-10,,2025-01-22 23:45:45,COMPLETED
